,flight_id,review_id,timestamp,Names,Gender,Destination
0,141-44-9212,2,1970-01-01 04:46:17,Cristen Rohan,F,Los_Angeles
1,379-86-9265,1,1970-01-01 04:50:21,Parlee McKenzie,F,Los_Angeles
2,295-92-4148,8,1970-01-01 04:48:34,Jaron Wyman,M,Los_Angeles
3,897-61-5856,3,1970-01-01 04:51:03,Jody Rau,M,Los_Angeles
4,120-70-3397,8,1970-01-01 04:51:19,Taliyah Smitham,F,Los_Angeles
5,488-08-4705,9,1970-01-01 04:49:43,Raven Rolfson,M,Los_Angeles
6,557-19-6879,7,1970-01-01 04:51:53,Lukas Carter,M,Los_Angeles
7,663-94-6576,9,1970-01-01 04:46:54,Arnetta Howe,F,Los_Angeles
8,565-24-8644,7,1970-01-01 04:51:58,Bradford Roob,F,Los_Angeles
9,645-81-6566,3,1970-01-01 04:52:08,Magdalene Pfannerstill,M,Los_Angeles
